EU rejects German call to boycott British lamb .	NNP VBZ JJ NN TO VB JJ NN .
The EU 's scientific veterinary and multidisciplinary committees are due to re-examine the issue early next month and make recommendations to the senior veterinary officials .	DT NNP POS JJ JJ CC JJ NNS VBP JJ TO VB DT NN RB JJ NN CC VB NNS TO DT JJ JJ NNS .
Sheep have long been known to contract scrapie , a brain-wasting disease similar to BSE which is believed to have been transferred to cattle through feed containing animal waste .	NNP VBP RB VBN VBN TO NN NN , DT JJ NN JJ TO NNP WDT VBZ VBN TO VB VBN VBN TO NNS IN NN VBG NN NN .
British farmers denied on Thursday there was any danger to human health from their sheep , but expressed concern that German government advice to consumers to avoid British lamb might influence consumers across Europe .	JJ NNS VBN IN NNP EX VBD DT NN TO JJ NN IN PRP$ NN , CC VBD NN IN JJ NN NN TO NNS TO VB JJ NN MD VB NNS IN NNP .
" What we have to be extremely careful of is how other countries are going to take Germany 's lead , " Welsh National Farmers ' Union ( NFU ) chairman John Lloyd Jones said on BBC radio .	" WP PRP VBP TO VB RB JJ IN VBZ WRB JJ NNS VBP VBG TO VB NNP POS NN , " NNP NNP NNP POS NNP ( NNP ) NN NNP NNP NNP VBD IN NNP NN .
Bonn has led efforts to protect public health after consumer confidence collapsed in March after a British report suggested humans could contract an illness similar to mad cow disease by eating contaminated beef .	NNP VBZ VBN NNS TO VB JJ NN IN NN NN VBD IN NNP IN DT JJ NN VBD NNS MD VB DT NN JJ TO JJ NN NN IN VBG VBN NN .
Germany imported 47,600 sheep from Britain last year , nearly half of total imports .	NNP VBD CD NN IN NNP JJ NN , RB NN IN JJ NNS .
It brought in 4,275 tonnes of British mutton , some 10 percent of overall imports .	PRP VBD IN CD NNS IN JJ NN , DT CD NN IN JJ NNS .
Rare Hendrix song draft sells for almost $ 17,000 .	NNP NNP NN NN VBZ IN RB $ CD .
LONDON 1996-08-22	NNP CD
A rare early handwritten draft of a song by U.S. guitar legend Jimi Hendrix was sold for almost $ 17,000 on Thursday at an auction of some of the late musician 's favourite possessions .	DT JJ JJ JJ NN IN DT NN IN NNP NN NN NNP NNP VBD VBN IN RB $ CD IN NNP IN DT NN IN DT IN DT JJ NN POS JJ NNS .
A Florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of " Ai n't no telling " , which Hendrix penned on a piece of London hotel stationery in late 1966 .	DT NNP NN VBD CD NNS ( $ CD ) IN DT NN IN " VBZ RB DT VBG " , WDT NNP VBN IN DT NN IN NNP NN NN IN JJ CD .
At the end of a January 1967 concert in the English city of Nottingham he threw the sheet of paper into the audience , where it was retrieved by a fan .	IN DT NN IN DT NNP CD NN IN DT JJ NN IN NNP PRP VBD DT NN IN NN IN DT NN , WRB PRP VBD VBN IN DT NN .
Buyers also snapped up 16 other items that were put up for auction by Hendrix 's former girlfriend Kathy Etchingham , who lived with him from 1966 to 1969 .	NNS RB VBD RB CD JJ NNS WDT VBD VBN RP IN NN IN NNP POS JJ NN NNP NNP , WP VBD IN PRP IN CD TO CD .
They included a black lacquer and mother of pearl inlaid box used by Hendrix to store his drugs , which an anonymous Australian purchaser bought for 5,060 pounds ( $ 7,845 ) .	PRP VBD DT JJ NN CC NN IN NN VBD NN VBN IN NNP TO VB PRP$ NNS , WDT DT JJ JJ NN VBD IN CD NNS ( $ CD ) .
The guitarist died of a drugs overdose in 1970 aged 27 .	DT NN VBD IN DT NNS NN IN CD VBN CD .
China says Taiwan spoils atmosphere for talks .	NNP VBZ NNP VBZ NN IN NNS .
BEIJING 1996-08-22	VBG CD
China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .	NNP IN NNP VBD NNP IN VBG DT NN IN DT NN IN NNS IN DT NNP NNP IN DT NN TO NNP IN NNP NNP NNP NNP NNP DT NN WDT VBD NNP .
Speaking only hours after Chinese state media said the time was right to engage in political talks with Taiwan , Foreign Ministry spokesman Shen Guofang told Reuters : " The necessary atmosphere for the opening of the talks has been disrupted by the Taiwan authorities . "	VBG JJ NNS IN JJ NN NNS VBD DT NN VBD RB TO VB IN JJ NNS IN NNP , NNP NNP NN NNP NNP VBD NNP : " DT JJ NN IN DT NN IN DT NNS VBZ VBN VBN IN DT NNP NNS . "
State media quoted China 's top negotiator with Taipei , Tang Shubei , as telling a visiting group from Taiwan on Wednesday that it was time for the rivals to hold political talks .	NN NNS VBD NNP POS JJ NN IN NNP , NNP NNP , IN VBG DT JJ NN IN NNP IN NNP IN PRP VBD NN IN DT NNS TO VB JJ NNS .
" Now is the time for the two sides to engage in political talks ...	" RB VBZ DT NN IN DT CD NNS TO VB IN JJ NNS :
that is to end the state of hostility , " Thursday 's overseas edition of the People 's Daily quoted Tang as saying .	WDT VBZ TO VB DT NN IN NN , " NNP POS JJ NN IN DT NNPS POS JJ VBN NNP IN VBG .
The foreign ministry 's Shen told Reuters Television in an interview he had read reports of Tang 's comments but gave no details of why the negotiator had considered the time right for talks with Taiwan , which Beijing considers a renegade province .	DT JJ NN POS NNP VBD NNP NNP IN DT NN PRP VBD VBN NNS IN NNP POS NNS CC VBD DT NNS IN WRB DT NN VBD VBN DT NN RB IN NNS IN NNP , WDT NNP VBZ DT NN NN .
China , which has long opposed all Taipei efforts to gain greater international recognition , was infuriated by a visit to Ukraine this week by Taiwanese Vice President Lien .	NNP , WDT VBZ RB VBN DT NNP NNS TO VB JJR JJ NN , VBD VBN IN DT NN TO NNP DT NN IN NNP NNP NNP NNP .
China says time right for Taiwan talks .	NNP VBZ NN RB IN NNP NNS .
BEIJING 1996-08-22	VBG CD
China has said it was time for political talks with Taiwan and that the rival island should take practical steps towards that goal .	NNP VBZ VBD PRP VBD NN IN JJ NNS IN NNP CC IN DT JJ NN MD VB JJ NNS IN DT NN .
Consultations should be held to set the time and format of the talks , the official Xinhua news agency quoted Tang Shubei , executive vice chairman of the Association for Relations Across the Taiwan Straits , as saying late on Wednesday .	NNS MD VB VBN TO VB DT NN CC NN IN DT NNS , DT NN NNP NN NN VBN NNP NNP , JJ NN NN IN DT NNP IN NNP IN DT NNP NNP , IN VBG RB RB NNP .
German July car registrations up 14.2 pct yr / yr .	NNP NNP NN NNS RB CD JJ NN SYM NN .
FRANKFURT 1996-08-22	NNP CD
German first-time registrations of motor vehicles jumped 14.2 percent in July this year from the year-earlier period , the Federal office for motor vehicles said on Thursday .	JJ JJ NNS IN NN NNS VBD CD NN IN NNP DT NN IN DT JJ NN , DT NNP NN IN NN NNS VBD IN NNP .
The office said 356,725 new cars were registered in July 1996 -- 304,850 passenger cars and 15,613 trucks .	DT NN VBD CD JJ NNS VBD VBN IN NNP CD : CD NN NNS CC CD NNS .
The figures represent a 13.6 percent increase for passenger cars and a 2.2 percent decline for trucks from July 1995 .	DT NNS VBP DT CD NN NN IN NN NNS CC DT CD NN NN IN NNS IN NNP CD .
Motor-bike registration rose 32.7 percent in the period .	JJ NN VBD CD NN IN DT NN .
The growth was partly due to an increased number of Germans buying German cars abroad , while manufacturers said that domestic demand was weak , the federal office said .	DT NN VBD RB JJ TO DT VBN NN IN NNPS VBG JJ NNS RB , IN NNS VBD DT JJ NN VBD JJ , DT JJ NN VBD .
Almost all German car manufacturers posted gains in registration numbers in the period .	RB DT JJ NN NNS VBD NNS IN NN NNS IN DT NN .
Volkswagen AG won 77,719 registrations , slightly more than a quarter of the total .	NNP NNP VBD CD NNS , RB RBR IN DT NN IN DT NN .
Opel AG together with General Motors came in second place with 49,269 registrations , 16.4 percent of the overall figure .	NNP NNP RB IN NNP NNPS VBD IN JJ NN IN CD NNS , CD NN IN DT JJ NN .
Third was Ford with 35,563 registrations , or 11.7 percent .	JJ VBD NNP IN CD NNS , CC CD NN .
Only Seat and Porsche had fewer registrations in July 1996 compared to last year 's July .	RB NNP CC NNP VBD JJR NNS IN NNP CD VBN TO JJ NN POS NNP .
Seat posted 3,420 registrations compared with 5522 registrations in July a year earlier .	NN VBD CD NNS VBN IN CD NNS IN NNP DT NN RBR .
Porsche 's registrations fell to 554 from 643 .	NNP POS NNS VBD TO CD IN CD .
GREEK SOCIALISTS GIVE GREEN LIGHT TO PM FOR ELECTIONS .	JJ NNS VBP NNP NNP TO NNP IN NNS .
ATHENS 1996-08-22	NNS CD
The Greek socialist party 's executive bureau gave the green light to Prime Minister Costas Simitis to call snap elections , its general secretary Costas Skandalidis told reporters .	DT NNP JJ NN POS JJ NN VBD DT JJ NN TO NNP NNP VBZ NNPS TO VB VB NNS , PRP$ JJ NN NNP NNP VBD NNS .
Prime Minister Costas Simitis is going to make an official announcement after a cabinet meeting later on Thursday , said Skandalidis .	NNP NNP VBZ NNP VBZ VBG TO VB DT JJ NN IN DT NN NN RB IN NNP , VBD NNP .
-- Dimitris Kontogiannis , Athens Newsroom +301 3311812-4	: NNP NNP , NNP NNP NNP CD
BayerVB sets C$ 100 million six-year bond .	NN VBZ $ CD CD JJ NN .
LONDON 1996-08-22	NNP CD
The following bond was announced by lead manager Toronto Dominion .	DT VBG NN VBD VBN IN NN NN NNP NNP .
BORROWER BAYERISCHE VEREINSBANK	NNP NNP NNP
AMT C$ 100 MLN COUPON 6.625 MATURITY 24.SEP.02	NNP $ CD NNP NN CD NNP CD
TYPE STRAIGHT ISS PRICE 100.92 PAY DATE 24.SEP.96	NNP NNP NNP NNP CD NN NNP CD
FULL FEES 1.875 REOFFER 99.32 SPREAD +20 BP	NNP NNS CD NNP CD NNP CD NNP
MOODY AA1 LISTING LUX PAY FREQ =	NNP NNP NNP NNP NN NNS SYM
S&P = DENOMS ( K ) 1-10-100 SALE LIMITS US / UK / CA	NNP SYM NNP ( NNP ) CD NNP VBZ NNP SYM NNP SYM VBN
NEG PLG NO CRS DEFLT NO FORCE MAJ =	NNP NNP DT NNP NNP DT VBP MD SYM
GOV LAW GERMAN HOME CTRY = TAX PROVS STANDARD	NNP NNP NNP NNP NNP SYM NN NNS VBD
MGT / UND 0.275 SELL CONC 1.60 PRAECIP =	NNP SYM NNP CD VB NNP CD NNP SYM
UNDERLYING GOVT BOND 7.0 PCT SEPT 2001	VBG JJ NN CD NNP NNP CD
NOTES BAYERISCHE VEREINSBANK IS JOINT LEAD MANAGER	NNS VBP NNP VBZ VBZ NNP NN
-- London Newsroom +44 171 542 7658	: NNP NNP CD CD CD CD
Venantius sets $ 300 million January 1999 FRN .	JJ NNS $ CD CD NNP CD NNP .
LONDON 1996-08-22	NNP CD
The following floating-rate issue was announced by lead manager Lehman Brothers International .	DT VBG NN NN VBD VBN IN NN NN NNP NNPS NNP .
BORROWER VENANTIUS AB ( SWEDISH NATIONAL MORTGAGE AGENCY )	NNP NNP NNP ( NNP NNP NNP NN )
AMT $ 300 MLN SPREAD - 12.5 BP MATURITY 21.JAN.99	NNP $ CD NNP NNP : CD NNP NNP CD
TYPE FRN BASE 3M LIBOR PAY DATE S23.SEP.96	NNP NNP NNP NNP NNP NN NNP NNP
LAST MOODY AA3 ISS PRICE 99.956 FULL FEES 10 BP	NNS NNP NNP NNP NNP CD NNP NNS CD NNP
LAST S&P AA+ REOFFER =	NNP NNP NNP NN SYM
NOTES S SHORT FIRST COUPON	NNS NNP NNP NNP NNP
LISTING LONDON DENOMS ( K ) 1-10-100 SALE LIMITS US / UK / JP / FR	VBG NNP NNP ( NNP ) CD NNP VBZ NNP SYM NNP SYM NNP SYM VBN
NEG PLG YES CRS DEFLT NO FORCE MAJ IPMA 2	NNP NNP NNP NNP NNP DT VBP MD NNP CD
GOV LAW ENGLISH HOME CTRY SWEDEN TAX PROVS STANDARD	NNP NNP NNP NNP NNP NNP NN NNS VBD
MGT / UND 5 BP SELL CONC 5 BP PRAECIP =	NNP SYM NNP CD NNP VB NNP CD NNP NNP SYM
NOTES ISSUED OFF EMTN PROGRAMME	NNS VBD NN NNP NNP
-- London Newsroom +44 171 542 8863	: NNP NNP CD CD CD CD
Port conditions update - Syria - Lloyds Shipping .	NN NNS VBP : NNP : NNP NNP .
Port conditions from Lloyds Shipping Intelligence Service --	NN NNS IN NNP NNP NNP NNP :
LATTAKIA , Aug 10 - waiting time at Lattakia and Tartous presently 24 hours .	NNP , NNP CD : VBG NN IN NNP CC NNP RB CD NNS .
Israel plays down fears of war with Syria .	NNP VBZ RP NNS IN NN IN NNP .
Colleen Siegel	NNP NNP
JERUSALEM 1996-08-22	VBN CD
Israel 's outgoing peace negotiator with Syria said on Thursday current tensions between the two countries appeared to be a storm in a teacup .	NNP POS JJ NN NN IN NNP VBD IN NNP JJ NNS IN DT CD NNS VBD TO VB DT NN IN DT NN .
Itamar Rabinovich , who as Israel 's ambassador to Washington conducted unfruitful negotiations with Syria , told Israel Radio it looked like Damascus wanted to talk rather than fight .	NNP NNP , WP IN NNP POS NN TO NNP VBD JJ NNS IN NNP , VBD NNP NNP PRP VBD IN NNP VBD TO VB RB IN NN .
" It appears to me the Syrian priority is still to negotiate .	" PRP VBZ TO PRP DT JJ NN VBZ RB TO VB .
The Syrians are confused , they are definitely tense , but the general assessment here in Washington is that this is essentially a storm in a teacup , " he said .	DT NNPS VBP VBN , PRP VBP RB JJ , CC DT JJ NN RB IN NNP VBZ IN DT VBZ RB DT NN IN DT NN , " PRP VBD .
Rabinovich is winding up his term as ambassador .	NN VBZ VBG RP PRP$ NN IN NN .
He will be replaced by Eliahu Ben-Elissar , a former Israeli envoy to Egypt and right-wing Likud party politician .	PRP MD VB VBN IN NNP NNP , DT JJ JJ NN TO NNP CC JJ NNP NN NN .
Israel on Wednesday sent Syria a message , via Washington , saying it was committed to peace and wanted to open negotiations without preconditions .	NNP IN NNP VBD NNP DT NN , IN NNP , VBG PRP VBD VBN TO NN CC VBD TO VB NNS IN NNS .
But it slammed Damascus for creating what it called a dangerous atmosphere .	CC PRP VBD NNP IN VBG WP PRP VBD DT JJ NN .
Syria accused Israel on Wednesday of launching a hysterical campaign against it after Israeli television reported that Damascus had recently test fired a missile .	NNP VBD NNP IN NNP IN VBG DT JJ NN IN PRP IN JJ NN VBD IN NNP VBD RB VB VBN DT NN .
It said its arms purchases were for defensive purposes .	PRP VBD PRP$ NNS NNS VBD IN JJ NNS .
" The message that we sent to ( Syrian President Hafez al- ) Assad is that Israel is ready at any time without preconditions to enter peace negotiations , " Israeli Foreign Minister David Levy told Israel Radio in an interview .	" DT NN IN PRP VBD TO ( JJ NNP NNP JJ ) NN VBZ IN NNP VBZ JJ IN DT NN IN NNS TO VB NN NNS , " JJ NNP NNP NNP NNP VBD NNP NNP IN DT NN .
Tension has mounted since Israeli Prime Minister Benjamin Netanyahu took office in June vowing to retain the Golan Heights Israel captured from Syria in the 1967 Middle East war .	NN VBZ VBN IN NNP NNP NNP NNP NNP VBD NN IN NNP VBG TO VB DT NNP NNPS NNP VBD IN NNP IN DT CD NNP NNP NN .
Israeli-Syrian peace talks have been deadlocked over the Golan since 1991 despite the previous government 's willingness to make Golan concessions .	JJ NN NNS VBP VBN VBN IN DT NNP IN CD IN DT JJ NN POS NN TO VB JJ NNS .
Peace talks between the two sides were last held in February .	NN NNS IN DT CD NNS VBD JJ VBN IN NNP .
" The voices coming out of Damascus are bad , not good .	" DT NNS VBG IN IN NNP VBP JJ , RB JJ .
The media ...	DT NNS :
are full of expressions and declarations that must be worrying ...	VBP JJ IN NNS CC NNS WDT MD VB VBG :
this artificial atmosphere is very dangerous because those who spread it could become its prisoners , " Levy said .	DT JJ NN VBZ RB JJ IN DT WP NN PRP MD VB PRP$ NNS , " NNP VBD .
" We expect from Syria , if its face is to peace , that it will answer Israel 's message to enter peace negotiations because that is our goal , " he said . "	" PRP VB IN NNP , IN PRP$ NN VBZ TO NN , IN PRP MD VB NNP POS NN TO VB NN NNS IN DT VBZ PRP$ NN , " PRP VBD . "
We do not want a war , God forbid .	PRP VBP RB VB DT NN , NNP VB .
No one benefits from wars . "	DT CD NNS IN NNS . "
Israel 's Channel Two television said Damascus had sent a " calming signal " to Israel .	NNP POS NNP CD NN VBD NNP VBD VBN DT " JJ NN " TO NNP .
It gave no source for the report .	PRP VBD DT NN IN DT NN .
Netanyahu and Levy 's spokesmen said they could not confirm it .	NNS CC NNP POS NNS VBD PRP MD RB VB PRP .
The television also said that Netanyahu had sent messages to reassure Syria via Cairo , the United States and Moscow .	DT NN RB VBD IN NNP VBD VBN NNS TO VB NNP IN NNP , DT NNP NNPS CC NNP .
Polish diplomat denies nurses stranded in Libya .	JJ NN VBZ NNS VBN IN NNP .
TUNIS 1996-08-22	NNS CD
A Polish diplomat on Thursday denied a Polish tabloid report this week that Libya was refusing exit visas to 100 Polish nurses trying to return home after working in the North African country .	DT JJ NN IN NNP VBD DT JJ JJ NN DT NN IN NNP VBD VBG NN NNS TO CD JJ NNS VBG TO VB NN IN VBG IN DT JJ JJ NN .
" This is not true .	" DT VBZ RB JJ .
Up to today , we have no knowledge of any nurse stranded or kept in Libya without her will , and we have not received any complaint , " the Polish embassy 's charge d'affaires in Tripoli , Tadeusz Awdankiewicz , told Reuters by telephone .	IN TO NN , PRP VBP DT NN IN DT NN VBN CC VBD IN NNP IN PRP$ NN , CC PRP VBP RB VBN DT NN , " DT JJ NN POS NN NNS IN NNP , NNP NNP , VBD NNP IN NN .
Poland 's labour ministry said this week it would send a team to Libya to investigate , but Awdankiewicz said the probe was prompted by some nurses complaining about their work conditions such as non-payment of their salaries .	NNP POS NN NN VBD DT NN PRP MD VB DT NN TO NNP TO VB , CC NNP VBD DT NN VBD VBN IN DT NNS VBG IN PRP$ NN NNS JJ IN NN IN PRP$ NNS .
He said that there are an estimated 800 Polish nurses working in Libya .	PRP VBD IN EX VBP DT VBN CD JJ NNS VBG IN NNP .
Two Iranian opposition leaders meet in Baghdad .	CD JJ NN NNS VBP IN NNP .
Hassan Hafidh	NNP NNP
BAGHDAD 1996-08-22	NNP CD
An Iranian exile group based in Iraq vowed on Thursday to extend support to Iran 's Kurdish rebels after they were attacked by Iranian troops deep inside Iraq last month .	DT JJ NN NN VBN IN NNP VBD IN NNP TO VB NN TO NNP POS NNP NNS IN PRP VBD VBN IN JJ NNS RB IN NNP JJ NN .
A Mujahideen Khalq statement said its leader Massoud Rajavi met in Baghdad the Secretary-General of the Kurdistan Democratic Party of Iran ( KDPI ) Hassan Rastegar on Wednesday and voiced his support to Iran 's rebel Kurds .	DT NNP NNP NN VBD PRP$ NN NNP NNP VBD IN NNP DT NNP IN DT NNP NNP NNP IN NNP ( NNP ) NNP NNP IN NNP CC VBD PRP$ NN TO NNP POS NN NNPS .
" Rajavi emphasised that the Iranian Resistance would continue to stand side by side with their Kurdish compatriots and the resistance movement in Iranian Kurdistan , " it said .	" NNP VBD IN DT JJ NN MD VB TO VB NN IN NN IN PRP$ JJ NNS CC DT NN NN IN NNP NNP , " PRP VBD .
A spokesman for the group said the meeting " signals a new level of cooperation between Mujahideen Khalq and the Iranian Kurdish oppositions " .	DT NN IN DT NN VBD DT NN " NNS DT JJ NN IN NN IN NNP NNP CC DT NNP NNP VBZ " .
Iran heavily bombarded targets in northern Iraq in July in pursuit of KDPI guerrillas based in Iraqi Kurdish areas outside the control of the government in Baghdad .	NNP RB VBD NNS IN JJ NNP IN NNP IN NN IN NNP NNS VBN IN JJ JJ NNS IN DT NN IN DT NN IN NNP .
Iraqi Kurdish areas bordering Iran are under the control of guerrillas of the Iraqi Kurdish Patriotic Union of Kurdistan ( PUK ) group .	JJ JJ NNS VBG NNP VBP IN DT NN IN NNS IN DT JJ NN NNP NNP IN NNP ( NNP ) NN .
PUK and Iraq 's Kurdistan Democratic Party ( KDP ) the two main Iraqi Kurdish factions , have had northern Iraq under their control since Iraqi forces were ousted from Kuwait in the 1991 Gulf War .	NNP CC NNP POS NNP NNP NNP ( NNP ) DT CD JJ JJ JJ NNS , VBP VBD JJ NNP IN PRP$ NN IN JJ NNS VBD VBN IN NNP IN DT CD NNP NNP .
Clashes between the two parties broke out at the weekend in the most serious fighting since a U.S.-sponsored ceasefire last year .	NNS IN DT CD NNS VBD RB IN DT NN IN DT RBS JJ NN IN DT JJ NN JJ NN .
Mujahideen Khalq said Iranian troops had also been shelling KDP positions in Qasri region in Suleimaniya province near the Iranian border over the last two days .	NNP NNP VBD JJ NNS VBD RB VBN VBG NNP NNS IN NNP NN IN NNP NN IN DT JJ NN IN DT JJ CD NNS .
It said about 100 Iraqi Kurds were killed or wounded in the attack .	PRP VBD IN CD JJ NNPS VBD VBN CC VBN IN DT NN .
Both Iran and Turkey mount air and land strikes at targets in northern Iraq in pursuit of their own Kurdish rebels .	DT NNP CC NNP NN NN CC NN NNS IN NNS IN JJ NNP IN NN IN PRP$ JJ JJ NNS .
A U.S.-led air force in southern Turkey protects Iraqi Kurds from possible attacks by Baghdad troops .	DT JJ NN NN IN JJ NNP VBZ JJ NNPS IN JJ NNS IN NNP NNS .
Saudi riyal rates steady in quiet summer trade .	JJ JJ NNS RB IN JJ NN NN .
MANAMA 1996-08-22	NNP CD
The spot Saudi riyal against the dollar and riyal interbank deposit rates were mainly steady this week in quiet summer trade , dealers in the kingdom said .	DT NN NN NN IN DT NN CC JJ NN NN NNS VBD RB JJ DT NN IN JJ NN NN , NNS IN DT NN VBD .
" There were no changes in Saudi riyal rates .	" EX VBD DT NNS IN JJ JJ NNS .
The market was very quiet because of summer holidays , " one dealer said .	DT NN VBD RB JJ IN IN NN NNS , " CD NN VBD .
The spot riyal was put at 3.7504 / 06 to the dollar .	DT NN NN VBD VBN IN CD SYM CD TO DT NN .
One-month interbank deposits were at 5-1/2 , 3/8 percent , three months were 5-5/8 , 1/2 percent and six months were 5-3/4 , 5/8 percent .	JJ NN NNS VBD IN CD , CD NN , CD NNS VBD CD , CD NN CC CD NNS VBD CD , CD NN .
One-year funds were at six , 5-7/8 percent .	JJ NNS VBD IN CD , JJ NN .
Israel approves Arafat 's flight to West Bank .	NNP VBZ NNP POS NN TO NNP NNP .
JERUSALEM 1996-08-22	VBN CD
Israel gave Palestinian President Yasser Arafat permission on Thursday to fly over its territory to the West Bank , ending a brief Israeli-PLO crisis , an Arafat adviser said .	NNP VBD JJ NNP NNP NNP NN IN NNP TO VB RP PRP$ NN TO DT NNP NNP , VBG DT JJ JJ NN , DT NNP NN VBD .
" The problem is over .	" DT NN VBZ RB .
The president 's aircraft has received permission to pass through Israeli airspace but the president is not expected to travel to the West Bank before Monday , " Nabil Abu Rdainah told Reuters .	DT NN POS NN VBZ VBN NN TO VB IN JJ NN CC DT NN VBZ RB VBN TO VB TO DT NNP NNP IN NNP , " NNP NNP NNP VBD NNP .
Arafat had been scheduled to meet former Israeli prime minister Shimon Peres in the West Bank town of Ramallah on Thursday but the venue was changed to Gaza after Israel denied flight clearance to the Palestinian leader 's helicopters .	NNP VBD VBN VBN TO VB JJ JJ JJ NN NNP NNP IN DT NNP NNP NN IN NNP IN NNP CC DT NN VBD VBN TO NNP IN NNP VBD NN NN TO DT JJ NN POS NNS .
Palestinian officials accused right-wing Prime Minister Benjamin Netanyahu of trying to stop the Ramallah meeting by keeping Arafat grounded .	NN NNS VBD JJ NNP NNP NNP NNP IN VBG TO VB DT NNP NN IN VBG NNP VBD .
Arafat subsequently cancelled a meeting between Israeli and PLO officials , on civilian affairs , at the Allenby Bridge crossing between Jordan and the West Bank .	NNP RB VBD DT NN IN JJ CC JJ NNS , IN JJ NNS , IN DT NNP NNP VBG IN NNP CC DT NNP NNP .
Abu Rdainah said Arafat had decided against flying to the West Bank on Thursday , after Israel lifted the ban , because he had a busy schedule in Gaza and would not be free until Monday .	NNP NNP VBD NNP VBD VBN IN VBG TO DT NNP NNP IN NNP , IN NNP VBD DT NN , IN PRP VBD DT JJ NN IN NNP CC MD RB VB JJ IN NNP .
Arafat to meet Peres in Gaza after flight ban .	NN TO VB NNP IN NNP IN NN NN .
JERUSALEM 1996-08-22	VBN CD
Yasser Arafat will meet Shimon Peres in Gaza on Thursday after Palestinians said the right-wing Israeli government had barred the Palestinian leader from flying to the West Bank for talks with the former prime minister .	NNP NNP MD VB NNP NNP IN NNP IN NNP IN NNPS VBD DT JJ JJ NN VBD VBN DT JJ NN IN VBG TO DT NNP NNP IN NNS IN DT JJ JJ NN .
" The meeting between Peres and Arafat will take place at Erez checkpoint in Gaza and not in Ramallah as planned , " Peres ' office said .	" DT NN IN NNP CC NNP MD VB NN IN NNP NN IN NNP CC RB IN NNP IN VBN , " NNP POS NN VBD .
Palestinian officials said the Israeli government had barred Arafat from overflying Israel in a Palestinian helicopter to the West Bank in an attempt to bar the meeting with Peres .	NN NNS VBD DT JJ NN VBD VBN NNP IN VBG NNP IN DT JJ NN TO DT NNP NNP IN DT NN TO VB DT NN IN NNP .
Israeli Prime Minister Benjamin Netanyahu has accused opposition leader Peres , who he defeated in May elections , of trying to undermine his Likud government 's authority to conduct peace talks .	NNP NNP NNP NNP NNP VBZ VBN NN NN NNP , WP PRP VBD IN NNP NNS , IN VBG TO VB PRP$ NNP NN POS NN TO VB NN NNS .
Afghan UAE embassy says Taleban guards going home .	NNP NNP NN VBZ NNP NNS VBG RB .
Hilary Gush	NNP NNP
DUBAI 1996-08-22	NNP CD
